what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1279049761220
java.vendor,sysinfo,,,"Apple Inc.",1279049761220
java.version,sysinfo,,,"1.6.0_20",1279049761220
java.vm.info,sysinfo,,,"mixed mode",1279049761220
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1279049761220
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1279049761220
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279049761220
java.vm.specification.version,sysinfo,,,"1.0",1279049761220
java.vm.vendor,sysinfo,,,"Apple Inc.",1279049761220
java.vm.version,sysinfo,,,"16.3-b01-279",1279049761220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279049767674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279049769126
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279049769257
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1279049769674
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1279049769675
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1279049769686
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1279049769692
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1279049769707
