totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
546,134
2728,7401
745,200
314,406
306,134
656,134
2601,9241
571,650
2896063,76679
306,134
306,134
306,134
66,134
66,134
306,134
570,682
786,134
126,176
3148,19543
2879529,58491
372,236
59274,41292
66,134
602,450
66,134
2946,15406
221,302
380,508
2991,6907
722,236
306,134
66,134
904,406
66,134
66,134
3202,12883
781,574
66,134
626,406
66,134
2810,2018
66,134
164,134
2565,14218
132,236
132,236
2656,7347
221,302
132,236
66,134
314,406
59413,50547
132,236
66,134
66,134
2666,9140
132,236
709,574
952,494
66,134
66,134
656,134
2627,13327
428,1396
2786,4566
403,472
378,134
314,406
66,134
132,236
2359,10944
132,236
2526,5770
717,846
66,134
322,410
126,176
306,134
2674,12084
221,302
66,134
60901,48305
132,236
306,134
66,134
314,406
306,134
656,134
2958,14001
2803777,81214
656,134
66,134
306,134
656,134
362,1558
66,134
378,134
2899,18535
38722,2081
2847143,71916
2570,2018
546,134
66,134
66,134
314,406
126,176
2950,16995
221,302
380,508
66,134
66,134
56794,40062
66,134
66,134
396,224
66,134
3068,1386
992,23531
481,1910
656,134
66,134
156,224
656,134
2542,11312
311,392
306,134
378,134
2729,7808
428,1920
156,224
66,134
66,134
404,496
2608,12084
469,574
382,452
2483,8718
372,236
916,944
786,134
54760,44332
4858,3678
559,664
156,224
2149,5901
132,236
1376,134
66,134
306,134
986,224
554,406
66,134
3428,14610
469,574
66,134
66,134
468,224
66,134
228,224
2429,12581
1231217,40728
1657130,37554
66,134
668,2158
126,176
66,134
66,134
314,406
4846,2695
66,134
56586,57889
4997,3546
380,508
610,874
306,134
656,134
2599,10746
306,134
962,236
66,134
306,134
6102,12245
709,574
306,134
66,134
554,406
2539,10878
66,134
372,236
66,134
2332,6269
709,508
66,200
126,176
66,134
322,410
199,548
2479,12535
823,2688
66,134
56538,39582
1050,788
314,406
2359,10746
2804566,74190
66,134
66,134
896,134
314,406
66,134
3024,14236
2153568,51862
731801,14096
362,638
66,134
66,134
618,134
2546,13015
293,302
380,508
2818,2290
66,134
126,176
2740,12150
132,236
155,200
66,134
66,134
2289,9241
132,236
56116,39510
2322,1844
2464,7173
1421,3210
546,134
66,134
3073,8850
380,508
66,134
66,134
2992,7906
155,200
66,134
314,406
2219,7604
66,134
2644,6269
221,302
620,508
66,134
66,134
2829,9283
612,236
428,792
66,134
570,682
66,134
3244,12480
778,1095
709,574
56786,40058
66,134
66,134
656,134
306,134
2864,12890
1299,574
2145,4330
494,3234
656,134
306,134
66,134
314,406
2603,12515
372,236
2508,4632
221,302
204,266
314,406
2570,2018
126,176
306,134
2612,13015
469,574
66,134
306,134
66,134
66,134
66,134
306,134
45002,31964
66,134
3808,18698
428,836
253,200
656,134
66,134
66,134
656,134
306,134
66,134
66,134
66,134
494,3420
3594,19735
