totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
66,134
428,2762
66,134
66,134
132,572
626,406
100255,4420677
9230,305882
66,134
66,134
126,176
314,406
1444,3602
4965674,171138
11114,7902
156,224
314,406
306,134
494,3356
48091,2142587
60942,2603014
546,134
904,406
132,3598
898,266
656,134
306,134
386,406
3400,2018
428,3022
306,134
66,134
132,572
109907,4735672
2769295,102836
2144749,41998
306,134
546,134
314,406
66,134
1992,4214
66,134
306,134
50468,35856
1364,1228
94657,4541429
7250,207250
4924847,131059
66,150
66,134
554,406
1380,4084
786,134
66,134
912,410
644,496
66,134
1084,3356
66,134
396,224
620,844
72313,3177563
38302,1573501
66,134
66,134
618,134
314,406
264,3312
536,200
4932972,145607
66,150
314,406
66,134
62118,46628
2562,1910
66,134
314,406
66,134
494,3544
306,134
66,134
656,134
3206925,90554
1740748,1045589
87832,3731827
66,134
66,134
1216,406
2570,2018
66,134
739,812
66,134
66,134
306,134
4932306,130071
378,150
5245,3020
713,200
126,176
306,134
1156,1548
132,236
109927,4759316
50402,35500
810,788
306,134
66,134
66,134
314,406
4950345,144910
656,150
66,134
66,134
656,134
618,1222
66,134
656,134
66,134
66,134
494,3912
132,572
66,134
110551,4780422
314,422
648335,53271
4326472,87074
126,176
306,134
314,406
66,134
494,4016
66,134
66,134
64186,44972
314,472
66,134
4961637,133042
306,150
306,134
896,134
314,406
800,4554
1202,236
108247,4777916
1932,2078
1144,406
66,134
862,4938
3050,2018
66,134
66,134
314,406
494,4216
132,572
306,134
110689,4782579
4962363,150351
602,4930
592,266
66,134
1180,1200
554,406
66,134
51814,40258
66,200
66,134
314,406
132,572
1390,4462
110311,4781056
546,150
66,134
4968691,136957
66,150
1046,5490
656,134
306,134
734,1033
66,134
306,134
494,4472
66,134
66,134
66,134
314,406
618,134
794,4562
66,134
372,572
66,134
66381,2926469
44640,1872298
790,5362
950841,106839
4101636,85434
314,406
156,224
734,4632
896,134
306,134
314,406
656,134
602,510
66,134
722,572
4979477,124576
111195,4798419
138,150
3162,3330
546,134
306,134
314,406
66,134
306,134
422,660
378,134
66,134
66,268
314,406
4987993,131439
1626,1666
306,134
66,134
51452,36576
860,508
111695,4820520
66,150
896,134
66,134
554,406
896,134
5008793,141567
306,150
656,134
562,410
314,406
372,572
132,236
111697,4838482
66,216
66,134
66,134
66,134
66,134
126,176
378,134
66,134
314,406
66,134
66,134
1718575,77335
3312497,67340
66,134
63186,44442
66,200
132,572
952,990
89497,3954285
22728,904343
66,134
904,406
66,134
66,134
656,134
66,134
66,134
314,406
3497449,114401
1591325,60834
66,134
66,134
602,1042
66,134
66,134
126,176
444,572
40789,1811845
72072,3070862
314,406
66,134
1570,1110
66,134
3630473,105796
1494691,66092
306,134
66,134
896,134
306,134
66,134
656,134
66,134
428,1748
722,236
112555,4901514
322,426
314,406
66,134
66,134
5094363,140071
140,216
66,134
314,406
126,176
66,134
66,134
378,134
306,134
66,134
66,134
66,134
66,134
362,1066
132,572
56620,40092
113917,4925338
446907,42527
4664759,101188
546,150
656,134
66,134
66,134
656,134
66,134
66,134
66,134
66,134
362,1614
204,572
3058,2192
113479,4916754
554,422
126,176
66,134
66,134
66,134
378,134
1985357,85286
3128488,63188
66,134
66,134
1090,1110
372,572
66,134
105141,2413829
67888,2557479
66,134
362,1098
656,134
314,406
66,134
3515405,102399
1615894,32610
66,134
66,134
322,410
306,134
66,134
66,134
66,134
132,572
24859,1087441
81494,3863001
66,134
5149364,133049
306,150
626,406
306,134
66,134
66,134
126,180
306,134
314,406
132,572
56372,39820
115125,4967812
306,150
306,134
656,134
66,134
5170344,137933
896,150
66,134
66,134
314,406
164,134
66,134
306,134
138,134
2810,2018
66,134
126,176
602,1122
132,572
132,236
115129,4989027
618,150
428,2316
5190336,142305
66,150
66,134
1338,1382
66,134
306,134
52256,36498
66,134
66,134
904,406
66,134
66,134
656,134
66,134
66,134
132,572
132,236
112787,4970743
5204250,184148
66,150
66,134
314,406
66,134
126,176
306,134
66,134
66,134
306,134
378,134
362,1142
66,134
66,134
66,134
5212328,141914
494,2718
85773,3762049
94446,1309704
66,134
904,406
66,134
66,134
656,134
66,134
66,134
314,406
66,134
66,134
66,134
5231710,137512
66,150
2882,2018
132,572
23731,1044897
93018,4006961
66,134
306,134
314,406
66,134
378,134
66,134
306,134
593385,43483
4660400,94132
1570,1110
656,134
428,2830
52146,36498
66,134
656,134
554,406
362,1166
656,134
66,134
132,572
372,236
117159,5074053
66,150
322,410
66,134
486,761
66,134
3756155,116989
1518330,29992
66,134
66,134
306,134
66,134
314,406
378,134
66,134
66,134
66,134
132,572
132,236
515708,5123831
4866713,108312
63524,44694
656,134
66,134
668,3134
656,134
306,134
66,134
314,406
306,134
132,572
132,236
86527,3820413
30450,1251275
452,1404
2800,2084
126,176
66,134
66,134
306,134
3449015,112396
1819846,38856
66,134
618,134
66,134
132,572
43215,1899565
74274,3185500
1168,622
66,134
66,134
52256,36498
66,134
306,134
1094,3414
296,200
5123443,157287
162517,4260
314,406
372,572
4027,178089
113676,4927070
562,426
66,134
314,406
846,176
66,134
66,134
66,134
66,134
5306034,141125
546,150
66,134
444,236
66,134
66,134
314,406
722,572
132,236
118395,5123970
656,150
63426,44678
66,134
656,134
264,3686
5325863,141623
66,150
306,134
314,406
306,134
66,134
66,134
66,134
132,572
512,550
121065,5145299
5338765,136141
66,150
66,134
66,134
306,134
66,134
66,134
378,134
66,134
306,134
314,406
656,134
1156,1548
5346904,145928
95499,4191097
75450,993717
66,134
656,134
306,134
494,4032
66,134
66,134
66,134
314,406
66,134
132,572
54707,2411245
64872,2753829
5359192,143518
554,422
66,134
306,134
306,134
66,134
362,1262
66,134
66,134
378,134
66,134
66,134
656,134
380,844
66,134
119481,5159551
66,150
63426,44678
656,134
306,134
5365552,150326
66,150
66,134
164,134
66,134
66,134
494,4336
66,134
126,176
306,134
626,406
2570,2018
66,134
66,134
132,572
132,236
119469,5172259
66,150
66,134
5382445,150610
66,150
896,134
66,134
546,134
1920,1110
546,134
362,1286
52496,36498
554,406
66,134
306,134
66,134
306,134
306,134
408,200
5370378,147882
66,150
119221,5173580
382,468
66,134
306,134
494,4640
306,134
66,268
66,134
554,406
66,134
306,134
306,134
378,134
722,572
314,406
90355,4006553
29696,1173814
66,134
306,134
5381654,154248
61170,42984
546,134
66,134
306,134
306,134
546,134
314,406
306,134
66,134
126,176
372,572
31747,1431413
87846,3763392
434,1318
2570,2018
66,134
66,134
306,134
74305,34927
5328369,115348
66,150
306,134
1216,406
306,134
66,134
198,674
1986,1212
119749,5217617
314,422
656,134
1265583,92511
4211910,84218
66,134
306,134
66,134
66,134
306,134
66,134
126,176
306,134
620,844
322,410
120847,5236054
306,150
66,134
66,134
66,134
2837141,92713
2606520,53678
602,1074
66,134
66,134
968,134
314,406
66,134
656,134
132,572
132,236
121725,5258436
610,1638
61914,43622
66,134
3489605,103426
1975828,39098
546,134
306,134
164,134
126,176
306,134
372,572
66,134
57471,2527407
64680,2749624
138,134
2810,2018
66,134
66,134
4540189,125522
944610,21432
66,134
66,134
656,134
378,134
306,134
952,1398
66,134
1396,1548
722,440
122385,5294896
1300221,61722
4253393,129474
66,150
306,134
66,134
554,406
66,134
126,176
546,134
66,134
66,134
66,134
562,410
2355347,84800
3152103,70323
362,1374
66,134
380,844
132,236
122059,5310406
66,150
656,134
66,134
378,134
656,134
66,134
66,134
66,134
656,134
66,134
3155377,100253
2433173,90668
132,266
66,134
380,844
132,236
68941,3039385
54210,2300854
66,134
306,134
314,406
66,134
66,134
66,134
378,134
2570,2018
4210075,119899
1338165,30026
306,134
66,134
362,1394
896,134
314,406
684,572
722,236
123313,5354594
66,150
1680,1110
66,134
66,134
66,134
31346,22338
5568132,146343
306,150
66,134
494,2472
192,278
123643,5380528
66,150
314,406
66,134
66,134
322,410
66,134
66,134
5590745,145216
66,150
66,134
66,134
66,134
722,572
66,134
65119,2863405
60326,2534772
66,134
306,134
656,134
314,406
66,134
66,134
3724,3968
52640,36978
66,134
5609800,163945
66,150
126,176
66,134
546,134
66,134
66,134
428,2404
132,572
66,134
125103,5418720
386,422
37906,26967
66,134
306,134
66,134
656,134
5632402,163364
66,150
656,134
378,134
66,134
656,134
66,134
1090,1110
66,134
132,572
24676,17474
158641,5460262
5645736,146271
306,150
126,176
306,134
66,134
66,134
306,134
66,134
198,2606
296,200
322,410
66,134
554,406
372,1384
296,200
132,266
5651714,151049
722,588
380,508
125689,5449661
656,150
378,134
66,134
656,134
66,134
66,134
306,268
66,134
39434,27734
16634,11916
314,406
66,134
5673964,152667
66,150
306,134
306,134
66,134
66,134
306,134
132,572
132,236
81775,3620207
44490,1852356
2942,4806
296,200
66,134
656,134
314,406
66,134
656,134
66,134
378,134
656,134
610,1746
66,134
1156,1548
125243,5463553
66,150
51010,35822
8146,5972
126,176
66,134
66,134
126,134
486,134
554,406
66,134
66,134
66,134
546,134
322,410
66,134
132,572
66,134
126019,5480055
656,150
66,134
66,134
1564,3344
66,134
66,134
1208,134
314,406
66,134
306,134
66,134
66,134
66,134
53564,38958
3174,2804
58849,2596643
66964,2869684
66,134
66,134
66,134
66,134
66,134
164,134
66,134
66,134
314,406
138,134
66,134
2570,2018
656,134
491,572
132,266
66,134
656,134
66,134
66,134
5814,3117
102989,4523429
23718,949754
296,200
1090,1110
66,268
314,406
58406,40982
810,854
66,134
546,134
66,134
610,1790
306,134
306,134
66,134
66,134
372,266
132,572
126369,5456083
66,150
306,134
306,134
656,134
374,448
66,134
656,134
66,134
66,134
896,134
378,134
66,134
264,3688
536,200
132,266
66,134
314,406
55746,39338
306,134
66,134
66,134
66,134
554,406
66,134
66,134
66,134
66,134
4626,134
306,134
66,134
20538,134
3050,2018
952,1526
33966,176
554,406
656,134
20466,134
306,134
656,134
66,134
