totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
0,0
0,0
840,680
2760,2160
284015,6993
3912451,4082445
512,552
4275486,4055260
0,0
66,618
790,338
248,272
240,0
846,276
1562,1638
230,132
650,42
256,276
760,824
3437419,73261
859416,4112358
0,0
0,0
248,272
0,0
0,0
1203049,27017
3122850,4123148
256,276
0,0
1000,824
240,0
808,904
0,0
0,0
4269171,1144670
63600,3002677
560,548
544,620
0,0
824,552
0,0
838,272
0,0
296,328
650,42
0,0
248,272
4297259,4192093
66,270
1494,1170
0,0
240,0
248,272
0,0
552,576
256,276
4379044,3809314
12078,400102
248,272
66,282
5006,4074
4352,3544
480,0
248,272
4357085,4239087
808,904
0,0
0,0
4419558,4305212
0,0
590,0
544,608
21101,14562
9684,8873
41438,27636
248,272
628,757
1638,904
0,0
0,0
248,272
0,0
0,0
4381707,4278879
0,0
256,276
256,276
504,548
4492868,4303040
88078,393850
393732,378967
103604,89836
784,580
88668,73659
18704,17802
1568,1680
10962,8214
4463027,4315295
82434,92386
399918,240212
159740,133228
0,0
60,42
838,272
0,0
0,0
4495338,4311850
752,820
0,0
2098,4592
920,264
4440412,350280
31284,3980978
248,272
752,788
552,632
0,0
240,0
248,272
240,0
0,0
3376,2760
4466629,1417748
62502,2917105
0,0
760,824
0,0
296,348
552,0
688,0
248,272
2275915,49633
2229122,4331262
230,66
0,0
590,0
4563060,4105312
9166,270158
296,356
240,0
0,0
744,548
0,0
0,0
784,600
760,824
0,0
4480143,608286
101512,3845427
512,552
296,352
2312523,50977
2173702,4330712
6968,272
8416,276
5874,1110
17102,610
19200,0
4982,0
29800,824
15120,0
1126,348
60,42
28320,0
590,0
4547978,3442694
22704,934714
0,0
0,0
512,552
922159,20131
3566910,4373206
5860,5454
0,0
512,520
0,0
248,272
0,0
0,0
0,0
240,0
3336,2610
248,272
0,0
0,0
4590448,4394996
0,0
0,0
902,0
4537526,4436358
0,0
1086,276
1620,1648
752,754
590,0
1008,1030
504,548
0,0
0,0
0,0
0,0
256,276
248,272
4183315,91213
331908,4315186
256,276
4587559,4458433
0,0
248,272
752,552
512,552
0,0
240,0
0,0
4560,4284
240,0
560,548
590,0
1576,1306
0,0
590,0
4592331,4402263
314,734
3218203,70225
1325499,4384251
240,0
248,272
0,0
0,0
1264,1038
0,0
0,0
248,272
0,0
512,520
4520052,4406962
0,0
0,0
4576853,4379743
0,0
72,0
6116,28938
0,0
0,0
248,272
512,552
590,0
98,0
312,0
590,0
300,42
256,276
4593434,4463824
4576112,3424510
22572,981526
496,276
256,276
248,272
0,0
0,0
0,0
256,276
240,0
248,272
240,0
256,276
4510982,4436300
240,0
752,552
0,0
4617100,4421299
0,0
0,0
867,420
1008,828
1142,544
0,0
0,0
824,552
3423937,74689
1192429,4396803
0,0
830,0
0,0
240,0
0,0
