totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
1098,2318
0,0
846,276
1232,552
504,548
1310,0
3223027,3108993
492,66
3247221,3179571
480,0
504,548
316,276
660,0
240,0
256,276
3243387,3156239
2568117,56035
662172,3063458
1048,276
300,42
240,0
868,342
728,272
256,276
784,272
3204590,3118982
0,0
3263159,3133523
240,0
0,0
736,276
602,2322
3247774,3128132
480,0
0,0
1094,548
818,0
0,0
3277030,3156518
480,0
0,0
968,272
992,520
3217779,3138763
240,0
720,0
0,0
480,0
852,42
72,0
3284194,3161036
976,276
0,0
2321343,50895
912745,3097081
256,276
0,0
480,0
3300815,3152539
240,0
736,276
590,0
618,2788
3276295,3157859
846,276
0,0
984,548
830,0
240,0
3309003,3232861
496,276
256,276
728,272
3252466,3166282
256,276
480,0
90,90
0,0
1108,318
3306211,3237215
0,0
3288083,3172903
0,0
256,276
1288,820
0,0
0,0
240,0
3314671,3235941
0,0
1326,276
0,0
0,0
3247419,3167983
0,0
256,276
9350,0
5888,272
3327260,3244966
0,0
0,0
0,0
752,520
3287860,3177452
0,0
0,0
0,0
245,656
312,0
3323614,3196960
36906,26470
184530,127776
94471,67376
29352,24524
3301734,3185667
31687,21399
0,290
3341426,3212406
0,0
240,0
1086,276
256,276
0,0
1590,824
684,3320
839145,18559
2471569,3176097
0,0
248,272
3347275,3272489
240,0
256,276
0,0
3314310,3201878
248,272
240,0
0,0
316,318
240,0
3352176,3222484
0,0
496,276
3349733,3213215
256,276
1040,548
0,0
248,272
240,0
98,0
830,0
3358451,3283715
240,0
590,0
2157583,47059
1166796,3173250
1274,3600
0,0
3369341,3229619
0,0
248,272
240,0
0,0
736,244
3344282,3232356
240,0
3386102,3249884
60,42
0,0
0,0
384,0
256,276
3000,2160
0,0
0,0
3337232,3238730
256,276
3370655,2541284
17144,719059
830,0
480,0
256,276
3333985,3251215
0,0
752,552
846,276
736,276
668,3654
0,0
3387691,3278476
3370137,3287600
248,272
256,276
480,0
256,276
60,42
0,0
6740162,6628518
256,276
0,0
312,0
0,0
496,276
240,0
496,276
3331160,3248508
3390710,3314800
0,0
590,0
248,272
0,0
256,276
590,0
0,0
1350861,29437
5387843,6511603
736,276
132,66
940,4466
0,0
0,0
240,0
248,272
256,244
3411769,3329379
60,42
256,276
3367808,3262640
248,272
72,0
552,0
496,276
2760,2160
240,0
0,0
3403088,2832228
1058023,461529
2360363,3247117
590,0
0,0
728,272
846,276
256,276
3385717,2066250
31306,1206767
496,276
3356297,3264043
0,0
240,0
428,4124
256,276
0,0
256,276
3384395,1730186
34180,1553843
60,42
0,0
3371157,3271773
256,276
875,692
312,0
240,0
817,696
0,0
256,276
3350929,330054
3431215,6236108
590,0
0,0
0,0
590,0
602,548
240,0
590,0
240,0
198,592
3362787,3279989
3370055,1172444
61552,2087613
240,0
428,4462
0,0
0,0
976,244
820,866
3399123,1556116
37612,1795867
3358185,73261
71330,3217996
72,0
560,272
496,276
2892,2226
0,0
3382464,1215564
771395,2158683
2668969,3267833
0,0
240,0
590,0
0,0
496,276
248,272
590,0
512,552
3363115,3323877
3390159,1514808
38742,1841057
240,0
0,0
256,276
536,588
256,276
3383364,1333922
3444454,5287098
248,272
0,0
0,0
256,276
0,0
312,0
488,272
256,276
0,0
3359888,374554
2258305,2998043
1189379,3239061
240,0
480,0
830,0
0,0
736,276
590,0
248,272
0,0
6837339,6595087
256,276
480,0
1264,1104
480,0
240,0
240,0
536,840
886,482
3437785,3285517
3440745,3301893
744,548
480,0
0,0
72,0
312,0
496,276
876,614
3439623,3360013
480,0
830,0
256,276
240,0
590,0
29983,22071
3467187,3334579
52386,29917
240,287
612,192
1000,824
496,276
256,276
0,0
0,0
0,0
512,552
60,42
256,276
296,1096
256,276
0,0
0,0
248,272
256,276
0,0
312,0
132,66
388,342
248,272
1086,276
560,548
0,0
650,42
0,0
0,0
590,0
256,276
0,0
0,0
240,0
248,272
256,276
0,0
892,972
98,0
0,0
0,0
0,0
496,244
808,1832
240,0
256,276
248,272
0,0
312,0
312,0
2504,1982
496,276
248,272
590,0
0,0
796,318
590,0
0,0
240,0
590,0
256,276
720,0
0,0
752,552
504,548
0,0
0,0
240,0
0,0
768,828
60,0
436,276
0,0
792,1756
0,0
0,0
0,0
504,548
0,0
312,0
0,0
6198,5974
590,0
